what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457056453788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457056455286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457056460048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457056461495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457056487211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1457056490643
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457056491544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457056491910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457056521238
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1457056523472
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1457056523583
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1457056523607
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1457056523685
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1457056523774
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1457056525608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457056530273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457056532695
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1457056534911
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1457056535086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1457056535952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1457056536540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457056536993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457056537624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457056555719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457056582007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1457056608494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457056609321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457056622643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457056633082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457056665992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457056687733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457056872297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457056943841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457056956454
